IYEAR,COMM,LOSS,LATITUDE,LONGITUDE
2002,CRUDE OIL,3.0,27.74784,-97.75408
2002,CRUDE OIL,1.0,41.24600N,87.59450W
2002,CRUDE OIL,8.0,41.22181667N,83.64200000W
2002,CRUDE OIL,7.0,27 24.3' N,"98 5.8"" W"
2002,CRUDE OIL,21.0,N33 54.763',W117 54.941'
2002,CRUDE OIL,3.0,29.99682,93.9924
2002,CRUDE OIL,2.0,29.99935,94.06941
2002,CRUDE OIL,2.0,"46° 41' 21""","92° 03' 30"""
2002,CRUDE OIL,25.0,38.516523N,88.496286W
2002,CRUDE OIL,10.0,32.28.817,94.50.183
2002,CRUDE OIL,100.0,30 9' 12,93 19' 55
2002,CRUDE OIL,30.0,N36 0 14 87,W-96 44 53.88
2002,CRUDE OIL,1.0,30.02.842,94.04.124
2002,CRUDE OIL,4.0,10.42 58,20.107 16
2002,CRUDE OIL,10.0,N31 46.037,W103 10.134
2002,CRUDE OIL,2.0,N29.59.52,W90.58.32
2002,CRUDE OIL,30.0,43 14.5743,93 21 34.22
2002,CRUDE OIL,126.0,43.4109,W107.5352
2003,CRUDE OIL,1.0,42.51.134,W106.21.405
2002,CRUDE OIL,3.0,"41° 48' 33""","-86° 10' 32"""
2002,CRUDE OIL,4.0,35 N,96 W
2002,CRUDE OIL,30.0,"N 36 25' 41.3""","W 100 13'9.1"""
2002,CRUDE OIL,3.0,35.56721,96.45563
2002,CRUDE OIL,32.0,N32.16.979,W101.11.444
2002,CRUDE OIL,1.0,43° 56' 59,-89° 41' 4
2002,CRUDE OIL,67.0,29-49-58.02N,94-53-8.07W
2002,CRUDE OIL,125.0,30.03297N,97.14725W
2002,CRUDE OIL,10.0,N34D53.619,W99D2.250
2003,CRUDE OIL,58.0,37 03' 38N,102 00' 33W
2003,CRUDE OIL,4.0,43.08038,W 106.09379
2003,CRUDE OIL,42.0,33 56 10,98 29 47.5
2003,CRUDE OIL,160.0,29-11.958,90-36.113
2003,CRUDE OIL,4.0,41.0396,W111.0337
2002,CRUDE OIL,5.0,N37.48226,W96.54913
2003,CRUDE OIL,1.0,N32.06.140,W96.16.105
2003,SAN JOAQUIN VALLEY CRUDE OIL,9.0,N35.26.101,W119.40.922
2003,CRUDE OIL,2.0,38.82763,-90.08821
2003,CRUDE OIL,2.0,45 41MIN,-93.59MIN 37 12 SEC
2003,CRUDE OIL,5.0,N39 53.79',W75 15.57'
2003,CRUDE OIL,4500.0,46° 41' 30,-92° 03' 35
2003,CRUDE OIL,9762.0,31.84126,104.70421
2003,CRUDE OIL,350.0,42.3398361 N,W 110.2831955
2003,CRUDE OIL,2.0,44 49 MIN 41 SEC,-92.58 3017 SEC
2003,CRUDE OIL,300.0,29-03-18.88,89-18-26.77
2003,CRUDE OIL,1.0,"N 31 0' 49.8""","W 89 19'44.7"""
2003,CRUDE OIL,130.0,"41° 48' 24""","-83° 36' 00"""
2003,CRUDE OIL,1.0,"47° 41' 20""","-95° 24' 44"""
2003,CRUDE OIL,995.0,29.24.22,89.47.00
2003,CRUDE OIL,22.0,42.54.760,W 106.21.607
2003,CRUDE OIL,20.0,35.99869,-96.57578
2003,CRUDE OIL,20.0,35.9467,-96.76288
2003,SAN JOAQUIN VALLEY CRUDE OIL,20.0,34.55.109,118.55.652
2003,PETROLEUM CRUDE OIL,95.0,38.20'24',98.18'42
2003,CRUDE OIL,2.0,"29.07'45""","95.41'34"""
2003,CRUDE OIL,5.0,"30 55' 18""","94-34' 03"""
2003,CRUDE OIL,21.0,N36 55'38.8,W96 03'8.25
2003,CRUDE OIL,362.0,35.967253,-101.610418
2003,CRUDE OIL,230.0,N42.11.15,W104.57.05
2003,CRUDE OIL,2.0,3344000 MN,315000ME
2003,CRUDE OIL,15.0,N41DEG26.07',W87DEG43.706'
2003,PETROLEUM CRUDE OIL,10.0,37 0650N,100 57.28W
2003,CRUDE OIL,1.0,47 41 MIN 14.7 SEC,-95 24 MIN 83.86 SEC
2002,CRUDE OIL,21.0,29.38.19N,94.56.58W
2003,CRUDE OIL,2.0,N33 46.280',W118 15.550'
2003,CRUDE OIL,250.0,"32 45' 29""N","101 56' 48.8""W"
2003,CRUDE OIL,345.0,32 1' 35,102 1' 34
2003,CRUDE OIL,20.0,N 32 30.61,W 94 51.49
2003,CRUDE OIL,20.0,37.78,-87.07
2003,CRUDE OIL,5.0,38.48778,-88.41922
