IDATE,COMM,LOSS
1987,CRUDE OIL,1500.0
1987,CRUDE OIL,100.0
1987,CRUDE OIL,50.0
1987,CRUDE OIL,150.0
1987,CRUDE OIL,15.0
1987,CRUDE OIL,250.0
1987,CRUDE OIL,100.0
1987,CRUDE OIL,281.0
1987,CRUDE OIL,2981.0
1987,CRUDE OIL,500.0
1987,CRUDE OIL,3900.0
1987,CRUDE OIL,500.0
1987,CRUDE OIL,480.0
1987,CRUDE OIL,370.0
1987,CRUDE OIL,120.0
1987,CRUDE OIL,500.0
1987,CRUDE OIL,50.0
1987,CRUDE OIL,500.0
1987,CRUDE OIL,1150.0
1987,CRUDE OIL,2310.0
1987,CRUDE OIL,1689.0
1987,CRUDE OIL,650.0
1987,CRUDE OIL,800.0
1987,CRUDE OIL,2000.0
1987,CRUDE OIL,3500.0
1987,CRUDE OIL,70.0
1987,CRUDE OIL,1665.0
1987,CRUDE OIL,1500.0
1987,CRUDE OIL,200.0
1987,CRUDE OIL,350.0
1987,CRUDE OIL,25.0
1987,CRUDE OIL,250.0
1987,CRUDE OIL,100.0
1987,CRUDE OIL,250.0
1987,CRUDE OIL,76.0
1987,CRUDE OIL,400.0
1987,CRUDE OIL,273.0
1987,CRUDE OIL,100.0
1987,CRUDE OIL,245.0
1987,CRUDE OIL,2500.0
1987,CRUDE OIL,350.0
1987,CRUDE OIL,50.0
1986,CRUDE OIL,318.0
1986,CRUDE OIL,75.0
1986,CRUDE OIL,150.0
1987,CRUDE OIL,90.0
1987,CRUDE OIL,100.0
1986,CRUDE OIL,75.0
1987,CRUDE OIL,50.0
1988,CRUDE OIL,775.0
1988,CRUDE OIL,174.0
1987,CRUDE OIL,60.0
1987,CRUDE OIL,60.0
1988,CRUDE OIL,236.0
1987,CRUDE OIL,4500.0
1987,CRUDE OIL,450.0
1987,CRUDE OIL,6500.0
1987,CRUDE OIL,250.0
1988,CRUDE OIL,355.0
1988,CRUDE OIL,700.0
1987,CRUDE OIL,1661.0
1987,CRUDE OIL,35.0
1988,CRUDE OIL,350.0
1988,CRUDE OIL,3920.0
1988,CRUDE OIL,70.0
1988,CRUDE OIL,602.0
1988,CRUDE OIL,95.0
1988,CRUDE OIL,494.0
1988,CRUDE OIL,190.0
1988,CRUDE OIL,384.0
1988,CRUDE OIL,1300.0
1988,CRUDE OIL,4150.0
1988,CRUDE OIL,15000.0
1988,CRUDE OIL,880.0
1988,CRUDE OIL,70.0
1988,CRUDE OIL,200.0
1988,CRUDE OIL,80.0
1988,CRUDE OIL,510.0
1988,CRUDE OIL,600.0
1988,CRUDE OIL,1500.0
1988,CRUDE OIL,850.0
1988,CRUDE OIL,20.0
1988,CRUDE OIL,1903.0
1988,CRUDE OIL,1.0
1988,CRUDE OIL,351.0
1988,CRUDE OIL,3.0
1988,CRUDE OIL,434.0
1988,CRUDE OIL,150.0
1988,CRUDE OIL,200.0
1988,CRUDE OIL,155.0
1988,CRUDE OIL,795.0
1988,CRUDE OIL,1370.0
1988,CRUDE OIL,400.0
1988,CRUDE OIL,40.0
1988,CRUDE OIL,5.0
1988,CRUDE OIL,5000.0
1988,CRUDE OIL,50.0
1988,CRUDE OIL,8800.0
1988,CRUDE OIL,12.0
1988,CRUDE OIL,1108.0
1988,CRUDE OIL,95.0
1988,CRUDE OIL,2.0
1988,CRUDE OIL,3384.0
1988,CRUDE OIL,206.0
1988,CRUDE OIL,4000.0
1988,CRUDE OIL,3000.0
1988,CRUDE OIL,2000.0
1988,CRUDE OIL,150.0
1988,CRUDE OIL,65.0
1988,CRUDE OIL,250.0
1988,CRUDE OIL,550.0
1988,CRUDE OIL,8517.0
1988,CRUDE OIL,50.0
1988,CRUDE OIL,1.0
1988,CRUDE OIL,651.0
1988,CRUDE OIL,150.0
1988,CRUDE OIL,2000.0
1988,CRUDE OIL,4000.0
1988,CRUDE OIL,100.0
1988,CRUDE OIL,2768.0
1988,CRUDE OIL,3155.0
1988,CRUDE OIL,100.0
1988,CRUDE OIL,200.0
1988,CRUDE OIL,3300.0
1988,CRUDE OIL,125.0
1988,CRUDE OIL,190.0
1988,CRUDE OIL,190.0
1988,CRUDE OIL,917.0
1988,CRUDE OIL,610.0
1988,CRUDE OIL,223.0
1988,CRUDE OIL,83.0
1988,CRUDE OIL,110.0
1988,CRUDE OIL,60.0
1988,CRUDE OIL,3200.0
1988,CRUDE OIL,1197.0
1988,CRUDE OIL,10.0
1988,CRUDE OIL,690.0
1988,CRUDE OIL,20554.0
1988,CRUDE OIL,45.0
1989,CRUDE OIL,23534.0
1989,CRUDE OIL,9377.0
1989,CRUDE OIL,500.0
1989,CRUDE OIL,200.0
1989,CRUDE OIL,67.0
1989,CRUDE OIL,1900.0
1989,CRUDE OIL,69.0
1989,CRUDE OIL,100.0
1989,CRUDE OIL,1186.0
1989,CRUDE OIL,120.0
1989,CRUDE OIL,2.0
1989,CRUDE OIL,653.0
1989,CRUDE OIL,2.0
1989,CRUDE OIL,10000.0
1989,CRUDE OIL,280.0
1989,CRUDE OIL,162.0
1989,CRUDE OIL,0.0
1989,CRUDE OIL,300.0
1989,CRUDE OIL,100.0
1989,CRUDE OIL,129.0
1989,CRUDE OIL,15.0
1989,CRUDE OIL,165.0
1989,CRUDE OIL,30.0
1989,CRUDE OIL,300.0
1989,CRUDE OIL,10.0
1989,CRUDE OIL,80.0
1989,CRUDE OIL,25.0
1989,CRUDE OIL,30.0
1989,CRUDE OIL,309.0
1989,CRUDE OIL,7.0
1989,CRUDE OIL,31300.0
1989,CRUDE OIL,300.0
1989,CRUDE OIL,540.0
1989,CRUDE OIL,1622.0
1989,CRUDE OIL,80.0
1989,CRUDE OIL,75.0
1989,CRUDE OIL,75.0
1989,CRUDE OIL,1.0
1989,CRUDE OIL,100.0
1989,CRUDE OIL,90.0
1989,CRUDE OIL,10.0
1989,CRUDE OIL,3571.0
1989,CRUDE OIL,75.0
1989,CRUDE OIL,710.0
1989,CRUDE OIL,300.0
1989,CRUDE OIL,650.0
1989,CRUDE OIL,150.0
1989,CRUDE OIL,605.0
1989,CRUDE OIL,50.0
1989,CRUDE OIL,90.0
1989,CRUDE OIL,160.0
1989,CRUDE OIL,60.0
1989,CRUDE OIL,270.0
1989,CRUDE OIL,85.0
1989,CRUDE OIL,160.0
1989,CRUDE OIL,400.0
1989,CRUDE OIL,110.0
1989,CRUDE OIL,1.0
1989,CRUDE OIL,5500.0
1989,CRUDE OIL,605.0
1989,CRUDE OIL,850.0
1989,CRUDE OIL,450.0
1989,CRUDE OIL,12000.0
1989,CRUDE OIL,300.0
1989,CRUDE OIL,750.0
1989,CRUDE OIL,200.0
1989,CRUDE OIL,200.0
1989,CRUDE OIL,4935.0
1990,CRUDE OIL,548.0
1990,CRUDE OIL,195.0
1990,CRUDE OIL,210.0
1990,CRUDE OIL,28.0
1990,CRUDE OIL,250.0
1990,CRUDE OIL,400.0
1990,CRUDE OIL,200.0
1990,CRUDE OIL,20027.0
1990,CRUDE OIL,500.0
1990,CRUDE OIL,15.0
1990,CRUDE OIL,300.0
1990,CRUDE OIL,25.0
1990,CRUDE OIL,250.0
1990,CRUDE OIL,1.0
1990,CRUDE OIL,3600.0
1990,CRUDE OIL,12000.0
1990,CRUDE OIL,75.0
1990,CRUDE OIL,1000.0
1990,CRUDE OIL,95.0
1990,CRUDE OIL,900.0
1990,CRUDE OIL,2.0
1990,CRUDE OIL,3000.0
1990,CRUDE OIL,347.0
1990,CRUDE OIL,240.0
1990,CRUDE OIL,100.0
1990,CRUDE OIL,5.0
1990,CRUDE OIL,2583.0
1990,CRUDE OIL,75.0
1990,CRUDE OIL,15.0
1990,CRUDE OIL,70.0
1990,CRUDE OIL,25.0
1990,CRUDE OIL,50.0
1990,CRUDE OIL,60.0
1990,CRUDE OIL,2108.0
1990,CRUDE OIL,170.0
1990,CRUDE OIL,1150.0
1990,CRUDE OIL,200.0
1990,CRUDE OIL,150.0
1990,CRUDE OIL,51.0
